what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034522460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034524452
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1714034524792
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034526993
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714034527473
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034531726
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1714034539060
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1714034539110
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034539740
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714034647993
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034649818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034653738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034658826
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034660978
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1714034660988
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034667109
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034667319
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034673864
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034674965
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034675184
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034678293
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034678593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1714034685282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1714034687563
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034690634
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034690894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1714034695248
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034696492
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034699818
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034708820
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034710951
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714034720144
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034723576
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714034723966
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop] return code: 8",1714034726027
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/c/SoC/dma/vd1/software/half/half.elf] return code: 8",1714034729197
error,log,,,"Downloading ELF Process failed",1714034729197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034729287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034730838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034758537
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034758987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034774765
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714034774775
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop] return code: 2, no processors found",1714034777109
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/c/SoC/dma/vd1/software/half/half.elf] return code: 2, no processors found",1714034780789
error,log,,,"Downloading ELF Process failed",1714034780789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034780899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034782622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034784505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034785075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034785375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034799120
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034799150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034801363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034805195
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1714034805865
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034810417
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714034811137
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034817020
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034824317
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034824607
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034824847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1714034829322
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034830813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034832595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034832685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034833538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034836224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034839344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034845385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034845874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034849946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034855564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034859335
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1714034859945
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034864412
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714034865032
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034871045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034877341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034878728
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034881799
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034881989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1714034891295
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034893316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034897693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034897793
